"";"Instituicao";"Curso";"Nivel";"Modalidade";"Link"
"1";"Mackenzie";"Administração";"";"";"/graduacao/sao-paulo-higienopolis/administracao"
"2";"Mackenzie";"Administração (Gestão de Comércio Exterior)";"";"";"/graduacao/sao-paulo-higienopolis/administracao-gestao-de-comercio-exterior"
"3";"Mackenzie";"Arquitetura e Urbanismo";"";"";"/graduacao/sao-paulo-higienopolis/arquitetura-e-urbanismo"
"4";"Mackenzie";"Ciências Biológicas";"";"";"/graduacao/sao-paulo-higienopolis/ciencias-biologicas"
"5";"Mackenzie";"Ciência da Computação";"";"";"/graduacao/sao-paulo-higienopolis/ciencia-da-computacao"
"6";"Mackenzie";"Ciências Contábeis";"";"";"/graduacao/sao-paulo-higienopolis/ciencias-contabeis"
"7";"Mackenzie";"Ciências Contábeis (Para Graduados)";"";"";"/graduacao/sao-paulo-higienopolis/ciencias-contabeis-para-graduados"
"8";"Mackenzie";"Ciências Contábeis Dual Study";"";"";"/portal-mackenzie/graduacao/sao-paulo-higienopolis/ciencia-contabeis-dual-study"
"9";"Mackenzie";"Ciências Econômicas";"";"";"/graduacao/sao-paulo-higienopolis/ciencias-economicas"
"10";"Mackenzie";"Design";"";"";"/graduacao/sao-paulo-higienopolis/design"
"11";"Mackenzie";"Direito";"";"";"/graduacao/sao-paulo-higienopolis/direito"
"12";"Mackenzie";"Engenharia Civil";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-civil"
"13";"Mackenzie";"Engenharia de Materiais";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-de-materiais"
"14";"Mackenzie";"Engenharia de Produção";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-de-producao"
"15";"Mackenzie";"Engenharia Elétrica";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-eletrica"
"16";"Mackenzie";"Engenharia da Computação";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-da-computacao"
"17";"Mackenzie";"Engenharia Química";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-quimica"
"18";"Mackenzie";"Engenharia Mecânica";"";"";"/graduacao/sao-paulo-higienopolis/engenharia-mecanica"
"19";"Mackenzie";"Farmácia";"";"";"/graduacao/sao-paulo-higienopolis/farmacia"
"20";"Mackenzie";"Fisioterapia";"";"";"/graduacao/sao-paulo-higienopolis/fisioterapia"
"21";"Mackenzie";"Gastronomia (Tecnólogo)";"";"";"/graduacao/sao-paulo-higienopolis/gastronomia-tecnologo"
"22";"Mackenzie";"Jornalismo";"";"";"/graduacao/sao-paulo-higienopolis/jornalismo"
"23";"Mackenzie";"Letras";"";"";"/graduacao/sao-paulo-higienopolis/letras"
"24";"Mackenzie";"Nutrição";"";"";"/graduacao/sao-paulo-higienopolis/nutricao"
"25";"Mackenzie";"Pedagogia";"";"";"/graduacao/sao-paulo-higienopolis/pedagogia"
"26";"Mackenzie";"Psicologia";"";"";"/graduacao/sao-paulo-higienopolis/psicologia"
"27";"Mackenzie";"Publicidade e Propaganda";"";"";"/graduacao/sao-paulo-higienopolis/publicidade-e-propaganda"
"28";"Mackenzie";"Química";"";"";"/graduacao/sao-paulo-higienopolis/quimica"
"29";"Mackenzie";"Sistemas de Informação";"";"";"/graduacao/sao-paulo-higienopolis/sistemas-de-informacao"
"30";"Mackenzie";"Teologia";"";"";"/graduacao/sao-paulo-higienopolis/teologia"
